path,source_commit,git_blob_sha,title,evidence_class,thesis_use,citation_allowed,superseded_by,copied,asset_path,notes
docs/OPT_FINAL_EVIDENCE_SUMMARY.md,9342e06db91945be2e44703437229ba45b18bda8,820bb3e4fc76e53c32b8caf65b28c75b58d37e8a,Final Optimization Evidence Summary,HISTORICAL_SUPERSEDED,historical context only; not canonical metrics,true,BOOTSTRAP_FORENSIC_AUDIT.md; artifacts/evidence_closure/bootstrap_corrected_v1_1.json,true,docs/historical_superseded/OPT_FINAL_EVIDENCE_SUMMARY.md,
docs/OPT_GLOBAL_CONFIGURATION_RESULTS.md,9342e06db91945be2e44703437229ba45b18bda8,c051e751ef1e16556c0641b8e363330809f2b2c8,GLOBAL-OPT Configuration Results,DEVELOPMENT,internal P3/P4/optimization evidence; bounded use only,true,,true,docs/supporting/OPT_GLOBAL_CONFIGURATION_RESULTS.md,
docs/OPT_HISTORICAL_COMPATIBILITY_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,d5f2989341ae0630df1cf2dcec1ce99b0c3bc635,Historical Compatibility Audit,HISTORICAL_SUPERSEDED,historical context only; not canonical metrics,true,RCA_FINAL_SCIENTIFIC_FREEZE_V1.md; RCA_THESIS_CLAIM_MATRIX.md,true,docs/historical_superseded/OPT_HISTORICAL_COMPATIBILITY_AUDIT.md,
docs/OPT_HISTORICAL_MODEL_INVENTORY.md,9342e06db91945be2e44703437229ba45b18bda8,6738b1642b1a498c94954f44f9c5731c499e4d6c,Historical Model Inventory,HISTORICAL_SUPERSEDED,historical context only; not canonical metrics,true,RCA_FINAL_SCIENTIFIC_FREEZE_V1.md; RCA_THESIS_CLAIM_MATRIX.md,true,docs/historical_superseded/OPT_HISTORICAL_MODEL_INVENTORY.md,
docs/OPT_HISTORICAL_REPLAY_RESULTS.md,9342e06db91945be2e44703437229ba45b18bda8,dcc04f27119728a77b55da80753bdccc72b5c19d,Historical Replay Results,HISTORICAL_SUPERSEDED,historical context only; not canonical metrics,true,RCA_FINAL_SCIENTIFIC_FREEZE_V1.md; RCA_THESIS_CLAIM_MATRIX.md,true,docs/historical_superseded/OPT_HISTORICAL_REPLAY_RESULTS.md,
docs/OPT_NESTED_SELECTION_RESULTS.md,9342e06db91945be2e44703437229ba45b18bda8,44ca6a2e5e68aaa53ca2c8176ff9f1844435cbf4,Nested Selection Results,DEVELOPMENT,internal P3/P4/optimization evidence; bounded use only,true,,true,docs/supporting/OPT_NESTED_SELECTION_RESULTS.md,
docs/OPT_O0_BASELINE_INTEGRITY.md,9342e06db91945be2e44703437229ba45b18bda8,a5239bb469f5ceb8d1f50da9c7b7a672aff0dc07,O0 V1 Baseline Integrity,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/OPT_O0_BASELINE_INTEGRITY.md,
docs/OPT_RESEARCH_PROTOCOL_V2.md,9342e06db91945be2e44703437229ba45b18bda8,03291a9c7d300847feb706f53ad80611da06376e,Ada-RCA Performance Optimization Protocol V2,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/OPT_RESEARCH_PROTOCOL_V2.md,
docs/OPT_SEARCH_SPACE_FREEZE_V1.md,9342e06db91945be2e44703437229ba45b18bda8,8c782fc2c022c29ef26596e2b2ad9f2b888dc688,Optimization Search Space Freeze V1,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/OPT_SEARCH_SPACE_FREEZE_V1.md,
docs/OPT_TELEMETRY_INFORMATION_LOSS_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,cf0d226efb47cb1608bf92ef10a7fa9cdec8ff91,Telemetry Information-Loss Audit,HISTORICAL_SUPERSEDED,historical context only; not canonical metrics,true,TELEMETRY_INFORMATION_LOSS_AUDIT_V1_1.md; artifacts/evidence_closure/telemetry_information_loss_v1_1.json,true,docs/historical_superseded/OPT_TELEMETRY_INFORMATION_LOSS_AUDIT.md,
docs/P3_G1_DECISION.md,9342e06db91945be2e44703437229ba45b18bda8,48046c6bb8b727fe4759a991c6c464bca110f04b,P3-G1 Morphology Signal Gate Decision,DEVELOPMENT,internal P3/P4/optimization evidence; bounded use only,true,,true,docs/supporting/P3_G1_DECISION.md,
docs/P3_POSTMORTEM.md,9342e06db91945be2e44703437229ba45b18bda8,200b31aa4709a34d434b625a2cee527af7633413,P3 Exploratory Post-Mortem,DIAGNOSTIC,limitation or post-hoc diagnostic; not confirmatory,true,,true,docs/supporting/P3_POSTMORTEM.md,
docs/P4_CONTEXT_DIAGNOSTIC_LIMITATION.md,9342e06db91945be2e44703437229ba45b18bda8,29e5812d71ac5ff845ab176c7fd3f139c6e3eb1a,P4 Foreign-Context Diagnostic Limitation,DIAGNOSTIC,limitation or post-hoc diagnostic; not confirmatory,true,,true,docs/supporting/P4_CONTEXT_DIAGNOSTIC_LIMITATION.md,
docs/P4_G0_DECISION.md,9342e06db91945be2e44703437229ba45b18bda8,0b1a3e09a7c46e73a2b7a0b5babad0bdfb51ed25,P4-G0 Decision,DEVELOPMENT,internal P3/P4/optimization evidence; bounded use only,true,,true,docs/supporting/P4_G0_DECISION.md,
docs/P4_G0_FAILURE_ANALYSIS.md,9342e06db91945be2e44703437229ba45b18bda8,3c538cc2a092c5cbb5dff671a82b14f0c56ebd7f,P4-G0 Failure Analysis,DEVELOPMENT,internal P3/P4/optimization evidence; bounded use only,true,,true,docs/supporting/P4_G0_FAILURE_ANALYSIS.md,
docs/P4_G0_IMPLEMENTATION_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,37b9a365f22816c67ba6421fb07d6509ee25eda1,P4-G0 Implementation Audit,DEVELOPMENT,internal P3/P4/optimization evidence; bounded use only,true,,true,docs/supporting/P4_G0_IMPLEMENTATION_AUDIT.md,
docs/P4_G0_RESULTS.md,9342e06db91945be2e44703437229ba45b18bda8,5ffc9c7a6b1479361994b0cd1b76011eaeca777c,P4-G0 Results,DEVELOPMENT,internal P3/P4/optimization evidence; bounded use only,true,,true,docs/supporting/P4_G0_RESULTS.md,
docs/P4_PROTOCOL_DEVIATIONS.md,9342e06db91945be2e44703437229ba45b18bda8,d9c6ea0e83a3333c557863337a9f026458853d9b,P4-G0 Protocol Deviations,DEVELOPMENT,internal P3/P4/optimization evidence; bounded use only,true,,true,docs/supporting/P4_PROTOCOL_DEVIATIONS.md,
docs/P6_G0_BASELINE_MATRIX_DECISION.md,9342e06db91945be2e44703437229ba45b18bda8,66699df556c43c93d213df83c6a17c716a7e52a8,P6-G0 Performance-Blind Baseline Matrix Decision,OUT_OF_SCOPE,excluded from this Ada-RCA-only asset package,false,,false,,Baseline/external-comparison context is deliberately outside this Ada-RCA-only package.
docs/RCAEVAL_RE2_TT_PUBLISHED_CONTEXT_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,159acba9c6adc559612f25c10679c220f514e6cf,RCAEval RE2-TT Published Context and Non-Interference Audit,OUT_OF_SCOPE,excluded from this Ada-RCA-only asset package,false,,false,,Baseline/external-comparison context is deliberately outside this Ada-RCA-only package.
docs/RCAEVAL_RE2_TT_TABLE6_PUBLISHED_REFERENCE.md,9342e06db91945be2e44703437229ba45b18bda8,f50cc140acecae4a1a99bc23a969b8564d827111,RCAEVAL_RE2_TT_TABLE6_PUBLISHED_REFERENCE.md,OUT_OF_SCOPE,excluded from this Ada-RCA-only asset package,false,,false,,Baseline/external-comparison context is deliberately outside this Ada-RCA-only package.
docs/RCA_EVIDENCE_CLOSURE_FAILURE.md,9342e06db91945be2e44703437229ba45b18bda8,eda947691ae78a97308c751674a1f09f9552106e,Ada-RCA Evidence Closure Failure Report,HISTORICAL_SUPERSEDED,historical context only; not canonical metrics,true,EVIDENCE_LEVEL_SEMANTIC_CORRECTION.md; final_decision_v1_1.json,true,docs/historical_superseded/RCA_EVIDENCE_CLOSURE_FAILURE.md,
docs/RCA_EVIDENCE_CLOSURE_PROTOCOL.md,9342e06db91945be2e44703437229ba45b18bda8,e68b71aa355c46ee25b45676592858632aff12d2,RCA Evidence Closure Protocol,CANONICAL,direct thesis evidence or authoritative interpretation,true,,true,docs/canonical/RCA_EVIDENCE_CLOSURE_PROTOCOL.md,
docs/RCA_EVIDENCE_CLOSURE_PROTOCOL_AMENDMENT_V1_1.md,9342e06db91945be2e44703437229ba45b18bda8,92078af71e5f7aa52cec75fc9e02ae7dd6644199,RCA Evidence Closure Protocol Amendment V1.1,CANONICAL,direct thesis evidence or authoritative interpretation,true,,true,docs/canonical/RCA_EVIDENCE_CLOSURE_PROTOCOL_AMENDMENT_V1_1.md,
docs/RCA_EVIDENCE_INDEX.md,9342e06db91945be2e44703437229ba45b18bda8,5ba06319ee858c38271644c7cbfe3f48d1730ab8,Ada-RCA Evidence Index,CANONICAL,direct thesis evidence or authoritative interpretation,true,,true,docs/canonical/RCA_EVIDENCE_INDEX.md,
docs/RCA_FINAL_EVALUATION_PROTOCOL_V1.0.md,9342e06db91945be2e44703437229ba45b18bda8,abecb83e9b56b82afaf048904b418e1b1da4b117,Ada-RCA Final Evaluation Protocol V1.0,OUT_OF_SCOPE,excluded from this Ada-RCA-only asset package,false,,false,,Baseline/external-comparison context is deliberately outside this Ada-RCA-only package.
docs/RCA_FINAL_METHOD_FREEZE_V1.0.md,9342e06db91945be2e44703437229ba45b18bda8,d72509f950c014ca03a708283dc2fbb9bd8fac0e,Ada-RCA Final Method Freeze V1.0 and Adversarial Scientific Audit,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/RCA_FINAL_METHOD_FREEZE_V1.0.md,
docs/RCA_FINAL_SCIENTIFIC_FREEZE_V1.md,9342e06db91945be2e44703437229ba45b18bda8,ccd78dbb27f276e424c9671df63f4fd594edb585,Ada-RCA Final Scientific Freeze V1,CANONICAL,direct thesis evidence or authoritative interpretation,true,,true,docs/canonical/RCA_FINAL_SCIENTIFIC_FREEZE_V1.md,
docs/RCA_P3_Research_Execution_Protocol_V0.6_min.md,9342e06db91945be2e44703437229ba45b18bda8,7434580e726d9fc89a51c93bcc382d4a0f8da0af,Ada-RCA Standalone RCA Research Execution Protocol V0.6-min,DEVELOPMENT,internal P3/P4/optimization evidence; bounded use only,true,,true,docs/supporting/RCA_P3_Research_Execution_Protocol_V0.6_min.md,
docs/RCA_P4_G0_MINIMAL_COMPARATIVE_PROTOCOL_V0.7.md,9342e06db91945be2e44703437229ba45b18bda8,0cfcc35a630d5d33bf5e5beab24b562b7f961d57,Ada-RCA P4-G0 Minimal Comparative Protocol V0.7,DEVELOPMENT,internal P3/P4/optimization evidence; bounded use only,true,,true,docs/supporting/RCA_P4_G0_MINIMAL_COMPARATIVE_PROTOCOL_V0.7.md,
docs/RCA_THESIS_CLAIM_MATRIX.md,9342e06db91945be2e44703437229ba45b18bda8,927d66130b2ab2fdd991a03979b43fe57ca6308f,Ada-RCA Thesis Claim Matrix,CANONICAL,direct thesis evidence or authoritative interpretation,true,,true,docs/canonical/RCA_THESIS_CLAIM_MATRIX.md,
docs/RCA_THESIS_RESULTS_PACKAGE.md,9342e06db91945be2e44703437229ba45b18bda8,cc3f68f5042e43f87e3ede86b504ecb8d05ff7e7,Ada-RCA Thesis Results Package,CANONICAL,direct thesis evidence or authoritative interpretation,true,,true,docs/canonical/RCA_THESIS_RESULTS_PACKAGE.md,
docs/README.md,9342e06db91945be2e44703437229ba45b18bda8,0a3ab808f0456a5bd4d34e177225d30ba087228d,Ada-RCA Research Documentation,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/README.md,
docs/REPRESENTATION_FREEZE.md,9342e06db91945be2e44703437229ba45b18bda8,088adf54424a01f3128963f1df98f51151b9df91,P3-A0.5 Event-Relative Telemetry Representation Freeze,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/REPRESENTATION_FREEZE.md,
docs/RESEARCH_STATUS.md,9342e06db91945be2e44703437229ba45b18bda8,87b69dab616e4e90463e186fd7f6518f3ee6bef4,Ada-RCA Research Status,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/RESEARCH_STATUS.md,
docs/S3_SERVICE_IDENTITY_PROBE.md,9342e06db91945be2e44703437229ba45b18bda8,3a5fd6656e86233a6f2621060b778c27a3ea2b1a,S3 Service-Identity Diagnostic Probe,DIAGNOSTIC,limitation or post-hoc diagnostic; not confirmatory,true,,true,docs/supporting/S3_SERVICE_IDENTITY_PROBE.md,
docs/SPLIT_PROTOCOL.md,9342e06db91945be2e44703437229ba45b18bda8,577f1f3ec0f1e05dc7c86a800c23d7b67fcca144,P3-A0 Split Protocol,SUPPORTING,"method, protocol, audit, or provenance context",true,,true,docs/supporting/SPLIT_PROTOCOL.md,
docs/TELEMETRY_INFORMATION_LOSS_AUDIT_V1_1.md,9342e06db91945be2e44703437229ba45b18bda8,3463fdb5c4464cbc672d1ef9bec8b82d0861040b,Telemetry Information-Loss Audit V1.1,CANONICAL,direct thesis evidence or authoritative interpretation,true,,true,docs/canonical/TELEMETRY_INFORMATION_LOSS_AUDIT_V1_1.md,
docs/TRACE_ERROR_REPRESENTATION_INVARIANT.md,9342e06db91945be2e44703437229ba45b18bda8,e547fced51108775f5ad0838d9fe517f05a7c9f1,Frozen Trace Error Representation Invariant,CANONICAL,direct thesis evidence or authoritative interpretation,true,,true,docs/canonical/TRACE_ERROR_REPRESENTATION_INVARIANT.md,
docs/ZERO_MODEL_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,f257cdbf17f7774f284410ab51a6815eda23e7bb,P3-A2 Zero-Model Morphology Audit,DEVELOPMENT,internal P3/P4/optimization evidence; bounded use only,true,,true,docs/supporting/ZERO_MODEL_AUDIT.md,
